Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MO,2017,"12        ",Male,18,Right-Handed,178,25,164,1,Car,10,.311,40,"Football (American)",999,998,997,996,995,1000,25,"Same length",90,90,"Same length",December,Summer,Yes,No,Meat,"Sports drink","Physical education",8,10,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",5,5,5,2,4,5,10,5,5,5,10,10,0,3,"Very little","Graduate degree","Rap/Hip hop","Super strength",Famous,Relative,Health
USA,MO,2017,"6         ",Male,12,Right-Handed,141,21,145,1,Bus,7,342,52,Basketball,2,100,50,50,1000,1000,22,"Left foot",6,3,"Index finger",October,,Yes,No,Salads,"Energy drink","Mathematics and statistics",6,4,5,"Yes - broadband connection","Text messaging",1000,900,24,50,0,6,6,2,5,24.7,10,3,0,17,"Very little","Graduate degree","Rap/Hip hop",Telepathy,Rich,Other,"Wildlife, animals"
USA,MO,2015,"12        ",Male,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MO,2017,"6         ",Male,11,Right-Handed,153,,149,2,Car,15,0.513,120,Basketball,,,,,,,27,"Same length",60,70,"Ring finger",March,Summer,No,No,Other,"Sports drink","Physical education",8,8,5,"Yes - other","Cell phone",2,2,36,20,5,10,100,,,,,,,,Some,"Some college","Rap/Hip hop","Super strength",Rich,"Sports person","Education/Youth development"
USA,MO,2020,"11        ",Male,16,Right-Handed,182,28,192,1,Car,20,.329,52,Basketball,300,300,100,100,700,900,27,"Right foot",100,108,"Ring finger",February,Summer,No,No,Meat,Tea,"Physical education",8,10,4,"Yes - other","Internet chat or instant messaging",10,14,4,0,2,2,10,3,10,8,10,5,3,1,Some,"Some college",Country,"Freeze time",Rich,Relative,"Arts, culture, sports"
USA,MO,2011,"12        ",Male,17,Right-Handed,740,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MO,2014,"12        ",Male,17,Right-Handed,186,28,185,1,Car,8,.289,42,Basketball,300,618,412,503,712,900,27,"Right foot",101,114,"Ring finger",January,Fall,Yes,No,Pizza/Pasta,Milk,Science,7,8,4,"Yes - broadband connection","Text messaging",154,157,4,1,6,2,3,2,12,60,48,12,8,1,Some,"Graduate degree",Pop,Fly,Happy,Relative,Health
USA,MO,2019,"12        ",Male,17,Right-Handed,183,27,189,1,Car,15,.433,51,Basketball,1000,800,200,150,900,900,28,"Left foot",10,9.5,"Index finger",July,Fall,,Yes,Desserts,"Sports drink",History,7,12,4,"Yes - other","Text messaging",20,500,18,8,10,30,6,3,8,6,7,6,28,6,"A lot","Graduate degree",Pop,"Freeze time",Happy,"Doctor or nurse",Health
USA,MO,2017,"11        ",Male,16,Right-Handed,180,25,171,1,Car,25,0.319,27,Soccer,900,800,950,800,950,1000,25,"Same length",95,101,"Ring finger",January,Summer,No,No,Meat,Water,"Mathematics and statistics",7,10,5,"Yes - broadband connection","Text messaging",3,3,1,0,3,3,1,12,5,3,3,0,0,0,"Very little","Graduate degree",Pop,Telepathy,Happy,"Business person",Health
USA,MO,2018,"11        ",Male,16,Left-Handed,165,23,165,2,Walk,2,.363,36,Soccer,353,599,503,668,711,834,23,"Same length",80,75,"Index finger",July,Fall,Yes,No,Meat,Water,Music,7,10,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",150,130,117,8,10,3,15,2,15,14,15,1,2,1,Some,"Undergraduate degree","Rap/Hip hop",Fly,Happy,Friend,"Arts, culture, sports"
USA,MO,2017,"12        ",Male,18,Left-Handed,175,23.5,63.4,1,Walk,5,.362,70,Tennis,400,500,1000,999,1000,1000,23,"Right foot",635,640,"Index finger",November,Fall,Yes,No,Meat,Water,"Computers and technology",3.5,2.5,2,"Yes - other","Myspace, Facebook, other social networking sites, or blog",4000,2400,2,0,6,0,5,3,48,99,120,,,,,,,,,,
